UNIT NAME,INR,UNIT CODE,COUNTY,FUEL,ZONE,IN SERVICE,INSTALLED CAPACITY RATING (MW),SPRING CAPACITY (MW)
GARCITAS CREEK SOLAR,23INR0223,,JACKSON,SOLAR,SOUTH,2025.0,0.0,0.0
DOGFISH BESS,23INR0219,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
ERATH COUNTY SOLAR,23INR0202,,ERATH,SOLAR,NORTH,2026.0,0.0,0.0
DESERT WILLOW BESS,23INR0195,,ELLIS,STORAGE,NORTH,2024.0,0.0,0.0
JACKALOPE SOLAR,23INR0180,,SAN PATRICIO,SOLAR,COASTAL,2024.0,0.0,0.0
GREAT KISKADEE STORAGE,23INR0166,,HIDALGO,STORAGE,SOUTH,2024.0,0.0,0.0
REDONDA SOLAR,23INR0162,,ZAPATA,SOLAR,SOUTH,2024.0,0.0,0.0
GRIMES COUNTY SOLAR,23INR0160,,GRIMES,SOLAR,NORTH,2025.0,0.0,0.0
FIVE WELLS STORAGE,23INR0159,,BELL,STORAGE,NORTH,2023.0,220.8,220.8
UMBRA (STOCKYARD) BESS,23INR0156,,FRANKLIN,STORAGE,NORTH,2026.0,0.0,0.0
UMBRA (STOCKYARD) SOLAR,23INR0155,,FRANKLIN,SOLAR,NORTH,2026.0,0.0,0.0
EBONY ENERGY STORAGE,23INR0154,,COMAL,STORAGE,SOUTH,2024.0,0.0,0.0
MERCURY II SOLAR,23INR0153,MERCURY_PV2,HILL,SOLAR,NORTH,2024.0,203.5,203.5
MERCURY II SOLAR,23INR0153,,HILL,SOLAR,NORTH,2024.0,206.1,206.1
CRADLE SOLAR,23INR0150,,BRAZORIA,SOLAR,COASTAL,2025.0,0.0,0.0
GALACTIC SOLAR,23INR0144,,GRAYSON,SOLAR,NORTH,2024.0,205.2,205.2
CORAL STORAGE,23INR0124,,FALLS,STORAGE,NORTH,2024.0,99.0,99.0
BLEVINS STORAGE,23INR0119,,FALLS,STORAGE,NORTH,2025.0,0.0,0.0
BLEVINS SOLAR,23INR0118,,FALLS,SOLAR,NORTH,2025.0,0.0,0.0
TRUE NORTH SOLAR,23INR0114,,FALLS,SOLAR,NORTH,2024.0,0.0,0.0
GULF STAR SOLAR SLF (G-STAR SOLAR),23INR0111,,WHARTON,SOLAR,SOUTH,2025.0,0.0,0.0
BURKSOL BESS (DONEGAL BESS),23INR0103,,DICKENS,STORAGE,PANHANDLE,2024.0,0.0,0.0
ALILA SOLAR,23INR0093,,SAN PATRICIO,SOLAR,COASTAL,2026.0,0.0,0.0
CASCADE SOLAR,23INR0091,,BRAZORIA,SOLAR,COASTAL,2024.0,0.0,0.0
DONEGAL SOLAR,23INR0089,,DICKENS,SOLAR,PANHANDLE,2024.0,0.0,0.0
HANSON SOLAR,23INR0086,,COLEMAN,SOLAR,WEST,2025.0,0.0,0.0
LAVACA BAY SOLAR,23INR0084,,MATAGORDA,SOLAR,COASTAL,2024.0,0.0,0.0
BOTTOM GRASS BESS,23INR0083,,COLORADO,STORAGE,SOUTH,2026.0,0.0,0.0
BOTTOM GRASS SOLAR,23INR0082,,COLORADO,SOLAR,SOUTH,2026.0,0.0,0.0
SODA LAKE SOLAR 2 SLF,23INR0080,,CRANE,SOLAR,WEST,2023.0,202.6,202.6
CHILLINGHAM STORAGE,23INR0079,,BELL,STORAGE,NORTH,2024.0,0.0,0.0
BRP TORTOLAS BESS,23INR0072,,BRAZORIA,STORAGE,COASTAL,2023.0,50.3,50.3
CHILLINGHAM SOLAR,23INR0070,,BELL,SOLAR,NORTH,2024.0,0.0,0.0
NORIA STORAGE,23INR0062,,NUECES,STORAGE,COASTAL,2025.0,0.0,0.0
NORIA SOLAR DCC,23INR0061,,NUECES,SOLAR,COASTAL,2025.0,0.0,0.0
ERIN SOLAR,23INR0058,,WHARTON,SOLAR,SOUTH,2025.0,0.0,0.0
DUFFY SOLAR,23INR0057,,MATAGORDA,SOLAR,COASTAL,2026.0,0.0,0.0
CALICHE MOUND SOLAR,23INR0056,,DEAF SMITH,SOLAR,PANHANDLE,2025.0,0.0,0.0
TANGLEWOOD SOLAR,23INR0054,,BRAZORIA,SOLAR,COASTAL,2025.0,0.0,0.0
CHARGER SOLAR,23INR0047,,REFUGIO,SOLAR,COASTAL,2025.0,0.0,0.0
GP SOLAR,23INR0045,,VAN ZANDT,SOLAR,NORTH,2025.0,0.0,0.0
PARLIAMENT SOLAR,23INR0044,,WALLER,SOLAR,HOUSTON,2024.0,0.0,0.0
DORI BQ SOLAR,23INR0040,,HARRIS,SOLAR,HOUSTON,2024.0,0.0,0.0
STARLING SOLAR,23INR0035,,GONZALES,SOLAR,SOUTH,2025.0,0.0,0.0
LANGER SOLAR,23INR0030,,BOSQUE,SOLAR,NORTH,2025.0,0.0,0.0
CACHENA SOLAR,23INR0027,,WILSON,SOLAR,SOUTH,2026.0,0.0,0.0
BAKER BRANCH SOLAR,23INR0026,,LAMAR,SOLAR,NORTH,2024.0,0.0,0.0
HORNET SOLAR,23INR0021,,SWISHER,SOLAR,PANHANDLE,2024.0,0.0,0.0
OUTPOST SOLAR,23INR0007,,WEBB,SOLAR,SOUTH,2025.0,0.0,0.0
REGIS PALACIOS BESS,22INR0602,,MATAGORDA,STORAGE,COASTAL,2024.0,0.0,0.0
OCI ALAMO 4 SOLAR-BRACKETVILLE,22INR0600,ECLIPSE_UNIT1,KINNEY,SOLAR,SOUTH,2014.0,37.62,37.6
GRIZZLY RIDGE BESS (DGR),22INR0596,,HAMILTON,STORAGE,NORTH,2023.0,9.9,9.9
ANCHOR WIND U5,22INR0562,ANCHOR_WIND5,CALLAHAN,WIND-O,WEST,2023.0,19.3,19.3
HONEYCOMB SOLAR,22INR0559,,BEE,SOLAR,SOUTH,2025.0,0.0,0.0
GUEVARA STORAGE,22INR0555,,ROCKWALL,STORAGE,NORTH,2025.0,0.0,0.0
PLATINUM STORAGE,22INR0554,,FANNIN,STORAGE,NORTH,2025.0,0.0,0.0
SOWERS STORAGE,22INR0552,,KAUFMAN,STORAGE,NORTH,2025.0,0.0,0.0
TANZANITE STORAGE,22INR0549,,HENDERSON,STORAGE,NORTH,2024.0,0.0,0.0
WALSTROM BESS,22INR0540,,AUSTIN,STORAGE,SOUTH,2025.0,0.0,0.0
ST. GALL I ENERGY STORAGE,22INR0524,,PECOS,STORAGE,WEST,2024.0,100.0,100.0
RAY GULF WIND,22INR0517,,WHARTON,WIND-O,SOUTH,2025.0,0.0,0.0
GRANSOLAR TEXAS ONE,22INR0511,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
ROSELAND SOLAR U3,22INR0506,ROSELAND_SOLAR3,FALLS,SOLAR,NORTH,2024.0,86.1,84.7
SHAMROCK,22INR0502,,CROCKETT,WIND-O,WEST,2024.0,0.0,0.0
TIMBERWOLF BESS,22INR0495,TBWF_ESS_BES1,CRANE,STORAGE,WEST,2023.0,150.34,150.0
CALLISTO I ENERGY CENTER,22INR0490,,HARRIS,STORAGE,HOUSTON,2024.0,0.0,0.0
HOUSE MOUNTAIN BESS,22INR0485,HOUSEMTN_BESS1,BREWSTER,STORAGE,WEST,2023.0,61.5,60.0
ROWLAND SOLAR II,22INR0482,,FORT BEND,SOLAR,HOUSTON,2024.0,0.0,0.0
LOWER RIO BESS,22INR0468,,HIDALGO,STORAGE,SOUTH,2025.0,0.0,0.0
BLUE SKY SOL,22INR0455,,CROCKETT,SOLAR,WEST,2025.0,0.0,0.0
DR SOLAR,22INR0454,,CULBERSON,SOLAR,WEST,2025.0,0.0,0.0
SUN VALLEY BESS U1,22INR0429,SUNVASLR_BESS1,HILL,STORAGE,NORTH,2023.0,54.08,53.3
SUN VALLEY BESS U2,22INR0429,SUNVASLR_BESS2,HILL,STORAGE,NORTH,2023.0,47.32,46.7
FERDINAND GRID BESS,22INR0422,,BEXAR,STORAGE,SOUTH,2026.0,0.0,0.0
AMSTERDAM STORAGE,22INR0417,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
ANDROMEDA SOLAR U1,22INR0412,ANDMDSLR_UNIT1,SCURRY,SOLAR,WEST,2023.0,158.8,158.0
ANDROMEDA SOLAR U2,22INR0412,ANDMDSLR_UNIT2,SCURRY,SOLAR,WEST,2023.0,162.4,162.0
STAMPEDE BESS,22INR0410,,HOPKINS,STORAGE,NORTH,2024.0,0.0,0.0
STAMPEDE SOLAR,22INR0409,,HOPKINS,SOLAR,NORTH,2024.0,0.0,0.0
FENCE POST BESS,22INR0405,FENCESLR_BESS1,NAVARRO,STORAGE,NORTH,2024.0,73.1,70.0
FENCE POST SOLAR U1,22INR0404,FENCESLR_SOLAR1,NAVARRO,SOLAR,NORTH,2024.0,141.3,138.0
FENCE POST SOLAR U2,22INR0404,FENCESLR_SOLAR2,NAVARRO,SOLAR,NORTH,2024.0,99.5,98.0
EVAL STORAGE,22INR0401,,CAMERON,STORAGE,COASTAL,2025.0,0.0,0.0
CAMERON STORAGE (SABAL STORAGE),22INR0398,CAMWIND_BESS1,CAMERON,STORAGE,COASTAL,2023.0,16.67,16.4
BRP CACHI BESS,22INR0388,,GUADALUPE,STORAGE,SOUTH,2024.0,0.0,0.0
BRP PAVO BESS,22INR0384,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
INERTIA BESS 2,22INR0375,,HASKELL,STORAGE,WEST,2025.0,0.0,0.0
INERTIA SOLAR,22INR0374,,HASKELL,SOLAR,WEST,2026.0,0.0,0.0
BRP HYDRA BESS,22INR0372,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
PADUA GRID BESS,22INR0368,,BEXAR,STORAGE,SOUTH,2024.0,0.0,0.0
BRP LIBRA BESS,22INR0366,LBRA_ESS_BES1,GUADALUPE,STORAGE,SOUTH,2024.0,201.02,200.0
HAYHURST TEXAS SOLAR,22INR0363,,CULBERSON,SOLAR,WEST,2024.0,0.0,0.0
JADE SOLAR U1,22INR0360,JADE_SLR_UNIT1,SCURRY,SOLAR,WEST,2023.0,158.8,158.0
JADE SOLAR U2,22INR0360,JADE_SLR_UNIT2,SCURRY,SOLAR,WEST,2023.0,162.4,162.0
JUNGMANN SOLAR,22INR0356,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
XE MURAT SOLAR,22INR0354,,HARRIS,SOLAR,HOUSTON,2024.0,0.0,0.0
BRP CARINA BESS,22INR0353,,NUECES,STORAGE,COASTAL,2024.0,0.0,0.0
SPARTA SOLAR U1,22INR0352,SPARTA_UNIT1,BEE,SOLAR,SOUTH,2024.0,146.0,146.0
SPARTA SOLAR U2,22INR0352,SPARTA_UNIT2,BEE,SOLAR,SOUTH,2024.0,104.0,104.0
SPARTA SOLAR,22INR0352,,BEE,SOLAR,SOUTH,2024.0,252.4,252.4
BRP ANTLIA BESS,22INR0349,,VAL VERDE,STORAGE,WEST,2024.0,0.0,0.0
MATAGORDA SOLAR,22INR0342,,MATAGORDA,SOLAR,COASTAL,2025.0,0.0,0.0
LIMOUSIN OAK STORAGE,22INR0338,,GRIMES,STORAGE,NORTH,2024.0,0.0,0.0
ESTONIAN ENERGY STORAGE,22INR0336,,DELTA,STORAGE,NORTH,2024.0,0.0,0.0
ESTONIAN SOLAR FARM,22INR0335,,DELTA,SOLAR,NORTH,2024.0,0.0,0.0
INERTIA BESS,22INR0328,,HASKELL,STORAGE,WEST,2024.0,0.0,0.0
HUMMINGBIRD STORAGE,22INR0327,,DENTON,STORAGE,NORTH,2024.0,100.0,100.0
BRP DICKENS BESS,22INR0325,,DICKENS,STORAGE,PANHANDLE,2024.0,0.0,0.0
BRP PALEO BESS,22INR0322,,HALE,STORAGE,PANHANDLE,2024.0,0.0,0.0
DESERT VINE SOLAR,22INR0307,,ZAPATA,SOLAR,SOUTH,2024.0,0.0,0.0
BRIGHT ARROW STORAGE U1,22INR0302,BR_ARROW_BESS1,HOPKINS,STORAGE,NORTH,2024.0,51.78,51.8
BRIGHT ARROW STORAGE U2,22INR0302,BR_ARROW_BESS2,HOPKINS,STORAGE,NORTH,2024.0,51.78,51.8
CORAL SOLAR U1,22INR0295,CORALSLR_SOLAR1,FALLS,SOLAR,NORTH,2024.0,97.7,96.2
